"";"Res.no";"Agr..no";"Driver.ID";"Days";"Agent.group";"Driver.Country_Disp";"Driver.Age";"Pre.paid.Amount";"First.Licence.Year";"Check.out.Date";"Check.out.Time";"Booking.Date";"Booking.Time";"AD";"B";"BC";"BE";"BF";"BO";"BR";"BS";"CS";"DI";"FDW";"LD";"NV";"PAI";"SC";"SS";"SUB";"TF";"TG";"UPS";"Upgra";"C.O.Mileage";"Check.out.Station";"Group";"Charged.group";"Internet.Insurance.Net.Revenue";"Internet.Non.Insurance.Net.Revenue";"Rental_Cost_Res";"Sales.Channel.2";"Segment";"Past.Rentals.Entry";"Manufacturer";"Color";"Rate.title";"Status";"OnDesk.Insurance.Net.Revenue";"OnDesk.Non.Insurance.Net.Revenue"
"53731";"RES-388510";"SM503-8660";478211;7;"Sixt";"Sweden";"29";"0.00";"2021";"5/9/2022";14;"29/8/2022";8;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;"33857";"503";"CDMR";"CCMR";"36.68";"0.00";"291.60";"Retail-Sixt-Sixt";"Retail";0;"Skoda";"Red";"Sixt Import Rates";"IN";"119.50";"0.00"
"3364";"RES-312968";"NULL";274412;2;"Sixt";"Blank";"NULL";"0.00";"NULL";"14/7/2022";10;"26/1/2022";13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NULL";"302";"MDMR";"MDMR";"0.00";"0.00";"138.11";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"54646";"RES-378447";"SM712-18672";466810;4;"Sixt";"Germany";"34";"0.00";"2019";"30/8/2022";10;"6/8/2022";0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"24493";"712";"MDMR";"MDMR";"38.28";"0.00";"202.34";"Retail-Sixt-Sixt";"Retail";0;"Peugeot";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
"20814";"RES-356354";"NULL";442694;3;"Sixt";"Germany";"NULL";"249.05";"NULL";"4/7/2022";16;"17/6/2022";16;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;"NULL";"503";"CCMR";"CCMR";"0.00";"0.00";"200.85";"Corporate-Sixt-Sixt";"Corporate";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"25131";"RES-360126";"NULL";429343;4;"Sixt";"Blank";"NULL";"0.00";"NULL";"14/7/2022";21;"26/6/2022";9;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;"NULL";"2";"JFAR";"JFAR";"62.32";"29.04";"726.88";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"33978";"RES-370764";"NULL";458175;3;"Sixt";"Blank";"NULL";"0.00";"NULL";"19/7/2022";16;"18/7/2022";13;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"NULL";"701";"MDMR";"MDMR";"28.71";"0.00";"241.28";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"35872";"RES-367667";"SM002-79340";454754;4;"Online Broker";"Croatia";"57";"237.04";"2022";"18/7/2022";16;"11/7/2022";16;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"4735";"2";"IFAR";"CCMR";"0.00";"0.00";"191.16";"Retail Brokers Sixt";"Retail";0;"VW";"Blue";"Sixt Import Rates";"IN";"0.00";"120.00"
"1300";"RES-363079";"SM312-17604";135724;3;"Travel Corporate Agencies";"Greece";"48";"211.35";"2017";"12/7/2022";9;"2/7/2022";15;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"68081";"312";"CXMR";"CXMR";"0.00";"0.00";"170.44";"Retail-Call center-Call center";"Retail";3;"Audi";"Grey";"NOVARTIS";"IN";"0.00";"0.00"
"20920";"RES-344524";"SM302-39866";430437;7;"Sixt";"France";"27";"0.00";"2019";"6/9/2022";23;"25/5/2022";16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"71143";"302";"EDMR";"EDMR";"0.00";"0.00";"241.30";"Retail-Sixt-Sixt";"Retail";0;"Nissan";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
"37139";"RES-352842";"SM503-5277";438848;8;"Sixt";"Germany";"55";"0.00";"2019";"13/6/2022";13;"9/6/2022";20;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;"64417";"503";"MDMR";"MDMR";"28.40";"0.00";"234.47";"Retail Brokers Sixt";"Retail";0;"Skoda";"Red";"Sixt Import Rates";"IN";"0.00";"0.00"
"49495";"RES-372769";"SM002-79926";460327;5;"Sixt";"Jordan";"34";"0.00";"2017";"24/7/2022";14;"22/7/2022";23;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"57331";"2";"CTAR";"CTAR";"0.00";"0.00";"671.00";"Retail-Sixt-Sixt";"Retail";0;"Audi";"White";"Sixt Import Rates";"IN";"177.14";"0.00"
"47803";"RES-382908";"SM302-39148";471945;7;"Sixt";"Austria";"29";"0.00";"2019";"26/8/2022";15;"16/8/2022";12;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;"38514";"302";"CXMR";"CXMR";"0.00";"50.82";"521.59";"Retail-Sixt-Sixt";"Retail";0;"Audi";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
"2747";"RES-341433";"SM002-75066";140790;9;"Sixt";"Germany";"45";"0.00";"2019";"4/6/2022";17;"24/5/2022";10;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"55039";"2";"JFAR";"JFAR";"114.84";"32.67";"954.10";"Retail-Sixt-Sixt";"Retail";6;"MINI";"Grey";"Sixt Import Rates";"IN";"55.89";"0.00"
